Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Order,Received,Billed,Location ID,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2355,06/09/2021,3006,,A,ZZZ0005,1,WessexPendulum Calibration Rig,"$1,849.06",0%,"$1,849.06",,,Purchase; Laboratorio de Resbaladicidad SL,,GST,$184.91,$0.00,N-T,$0.00,B,,,5,1,30,0,"$2,033.97",,,4,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2356,06/09/2021,3007,,A,ZZZ0001,1,WanmaLab Pendulum,"$6,211.53",0%,"$6,211.53",,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$6,211.53",,,49,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2378,22/09/2021,3032,,A,ZZZ0001,1,WanmaLab Pendulum,"$6,158.87",0%,"$6,158.87",,,Purchase; Laboratorio de Resbaladicidad SL- The value on the freight section is the transfer fee charged by ANZ,,N-T,$0.00,$9.01,N-T,$0.00,B,,,5,1,30,0,"$7,165.02",,,49,1,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2378,22/09/2021,3032,,A,ZZZ100,2,Wessex Verification Tile Jig,$586.552941,15%,$997.14,,,Purchase; Laboratorio de Resbaladicidad SL- The value on the freight section is the transfer fee charged by ANZ,,N-T,$0.00,$9.01,N-T,$0.00,B,,,5,1,30,0,"$7,165.02",,,-3,2,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2398,27/09/2021,,,P,ZZZ317,15,Calibration Microfibre Cloth,$.454667,0%,$6.82,,,Purchase; Bunnings Warehouse,,GST,$.68,$0.00,GST,$0.00,B,,,5,1,30,0,$30,,,-4,15,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2398,27/09/2021,,,P,ZZZ417,45,Microfibre Cleaning Cloths,$.454444,0%,$20.45,,,Purchase; Bunnings Warehouse,,GST,$2.05,$0.00,GST,$0.00,B,,,5,1,30,0,$30,,,0,45,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ311,4,Blue Mop Head,$14.21,0%,$56.84,,,Purchase; Bunnings Warehouse,,GST,$5.68,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,-5,4,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ322,25,Trolley Cup Bolt M8x40mm,$.5124,0%,$12.81,,,Purchase; Bunnings Warehouse,,GST,$1.29,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,-21,25,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ313,5,Wet Floor Sign,$11.364,0%,$56.82,,,Purchase; Bunnings Warehouse,,GST,$5.68,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,-1,5,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ402,1,Mentholated Spirits (1 Liter),$3.93,0%,$3.93,,,Purchase; Bunnings Warehouse,,GST,$.39,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,0,1,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ306,10,Spray Bottle,$3.191,0%,$31.91,,,Purchase; Bunnings Warehouse,,GST,$3.19,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,-8,10,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ321,21,Trolley Base Cups (Large),$2.454286,0%,$51.54,,,Purchase; Bunnings Warehouse,,GST,$5.16,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,-30,21,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2393,28/09/2021,,,P,ZZZ320,21,Trolley Base Cups (Small),$1.818571,0%,$38.19,,,Purchase; Bunnings Warehouse,,GST,$3.81,$0.00,GST,$0.00,B,,,5,1,30,0,$277.24,,,-49,21,Location1,*None,3501
