Date,Amount,From Account,To Account,Reference Number
19/10/2021,1010.0,11111.0,11112,tfr-204
19/10/2021,1000.0,11111.0,21002,tfr-205
20/10/2021,5000.0,11111.0,21002,tfr-206
20/10/2021,3000.0,11111.0,11112,tfr-207
20/10/2021,2000.0,11111.0,11112,tfr-208
21/10/2021,4000.0,11111.0,11112,tfr-209
22/10/2021,10000.0,11111.0,11112,tfr-210
22/10/2021,5000.0,11111.0,21002,tfr-211
22/10/2021,3000.0,11111.0,11113,tfr-212
22/10/2021,1000.0,11111.0,21002,tfr-213
22/10/2021,1000.0,11111.0,21002,tfr-214
25/10/2021,1125.0,11111.0,19001,tfr-215
25/10/2021,250.0,11111.0,11113,tfr-216
25/10/2021,1000.0,11111.0,11113,tfr-217
26/10/2021,300.0,11111.0,11113,tfr-218
27/10/2021,2000.0,11111.0,21002,tfr-219
28/10/2021,5000.0,11111.0,11112,tfr-220
28/10/2021,4556.0,11111.0,11815,tfr-221
28/10/2021,500.0,11111.0,21002,tfr-222
29/10/2021,5000.0,11111.0,11113,tfr-223
29/10/2021,2500.0,11111.0,11113,tfr-224
29/10/2021,1000.0,11111.0,21002,tfr-225
01/11/2021,3000.0,11111.0,11112,tfr-226
01/11/2021,1000.0,11111.0,21002,tfr-227
01/11/2021,1000.0,11111.0,11112,tfr-228
01/11/2021,1000.0,11111.0,21002,tfr-229
01/11/2021,22463.9,11111.0,11815,tfr-230
01/11/2021,1125.0,11111.0,19001,tfr-231
01/11/2021,1000.0,11111.0,11112,tfr-232
01/11/2021,250.0,11111.0,11113,tfr-233
02/11/2021,2000.0,11111.0,11112,tfr-234
02/11/2021,10000.0,11112.0,11113,tfr-235
03/11/2021,2000.0,11111.0,11113,tfr-236
03/11/2021,2000.0,11111.0,21002,tfr-237
03/11/2021,2000.0,11111.0,11113,tfr-238
03/11/2021,1000.0,11111.0,11113,tfr-239
04/11/2021,2000.0,11111.0,11113,tfr-240
04/11/2021,2000.0,11111.0,11113,tfr-241
04/11/2021,2000.0,11111.0,11113,tfr-242
04/11/2021,1000.0,11111.0,21002,tfr-243
05/11/2021,3000.0,11111.0,11113,tfr-244
05/11/2021,1000.0,11111.0,21002,tfr-245
05/11/2021,1000.0,11111.0,11113,tfr-246
08/11/2021,1000.0,11111.0,11113,tfr-247
08/11/2021,1375.0,11111.0,19001,tfr-248
08/11/2021,4000.0,11111.0,11113,tfr-249
09/11/2021,2000.0,11111.0,11113,tfr-250
09/11/2021,1000.0,11111.0,21002,tfr-251
10/11/2021,3000.0,11111.0,11113,tfr-252
10/11/2021,3000.0,11111.0,21002,tfr-253
11/11/2021,1000.0,11111.0,21002,tfr-254
11/11/2021,1000.0,11111.0,11113,tfr-255
12/11/2021,1000.0,11111.0,21002,tfr-256
15/11/2021,7000.0,11111.0,11113,tfr-257
15/11/2021,1375.0,11111.0,19001,tfr-258
15/11/2021,7309.65,11111.0,11815,wages-259
15/11/2021,24978.0,11111.0,11815,Wages-260
16/11/2021,1391.5,11111.0,11815,wages-261
16/11/2021,250.0,11111.0,11815,Wages-262
17/11/2021,2000.0,11111.0,11113,tfr-263
17/11/2021,2000.0,11111.0,11113,tfr-264
17/11/2021,500.0,11111.0,21002,tfr-265
18/11/2021,1000.0,11111.0,21002,tfr-266
18/11/2021,3000.0,11111.0,11113,tfr-267
18/11/2021,4000.0,11111.0,11113,tfr-268
18/11/2021,14000.0,11111.0,11112,tfr-269
19/11/2021,3500.0,11111.0,21002,tfr-270
22/11/2021,1375.0,11111.0,19001,tfr-271
22/11/2021,3000.0,11111.0,11113,tfr-272
23/11/2021,13010.0,11111.0,11112,tfr-273
23/11/2021,2000.0,11111.0,21002,tfr-274
23/11/2021,1000.0,11111.0,11113,tfr-275
24/11/2021,8000.0,11111.0,11113,tfr-276
24/11/2021,1000.0,11111.0,11113,tfr-277
24/11/2021,1000.0,11111.0,21002,tfr-278
25/11/2021,2000.0,11111.0,11113,tfr-279
25/11/2021,4000.0,11111.0,21002,tfr-280
26/11/2021,1000.0,11111.0,11113,tfr-281
29/11/2021,1375.0,11111.0,19001,tfr-282
30/11/2021,21816.5,11111.0,11815,tfr-283
30/11/2021,4556.0,11111.0,11815,tfr-284
30/11/2021,2500.0,11111.0,21002,tfr-285
01/12/2021,6000.0,11111.0,11113,tfr-286
01/12/2021,3000.0,11111.0,11113,tfr-287
02/12/2021,2000.0,11111.0,21002,tfr-288
03/12/2021,2500.0,11111.0,21002,tfr-289
06/12/2021,2000.0,11111.0,21002,tfr-290
06/12/2021,2000.0,11111.0,11113,tfr-291
06/12/2021,1375.0,11111.0,19001,tfr-292
06/12/2021,4000.0,11111.0,19001,tfr-293
07/12/2021,1000.0,11111.0,11113,tfr-294
07/12/2021,1000.0,11111.0,21002,tfr-295
07/12/2021,1000.0,11111.0,11113,tfr-296
08/12/2021,2000.0,11111.0,11113,tfr-297
08/12/2021,1000.0,11111.0,11113,tfr-298
09/12/2021,4000.0,11111.0,11113,tfr-299
09/12/2021,1000.0,11111.0,11113,tfr-300
09/12/2021,1000.0,11111.0,21002,tfr-301
09/12/2021,500.0,11111.0,21002,tfr-302
10/12/2021,4000.0,11111.0,11113,tfr-303
10/12/2021,2000.0,11111.0,21002,tfr-304
10/12/2021,2000.0,11111.0,11113,tfr-305
10/12/2021,1000.0,11111.0,11113,tfr-306
13/12/2021,5000.0,11111.0,19001,tfr-307
13/12/2021,2000.0,11111.0,11113,tfr-308
13/12/2021,1000.0,11111.0,21002,tfr-309
13/12/2021,1000.0,11111.0,21002,tfr-310
13/12/2021,1000.0,11111.0,11113,tfr-311
13/12/2021,1375.0,11111.0,19001,tfr-312
14/12/2021,2000.0,11111.0,21002,tfr-313
14/12/2021,1000.0,11111.0,11113,tfr-314
15/12/2021,18182.7,11111.0,11815,tfr-315
15/12/2021,7000.0,11111.0,11113,tfr-316
15/12/2021,3716.0,11111.0,11815,tfr-317
15/12/2021,3000.0,11111.0,21002,tfr-318
15/12/2021,1926.3,11111.0,11815,tfr-319
15/12/2021,1000.0,11111.0,21002,tfr-320
15/12/2021,1000.0,11111.0,21002,tfr-321
15/12/2021,2403.9,11111.0,11815,tfr-322
16/12/2021,8000.0,11111.0,11113,tfr-323
16/12/2021,5000.0,11111.0,11113,tfr-324
17/12/2021,2000.0,11111.0,11113,tfr-325
20/12/2021,1375.0,11111.0,19001,tfr-326
20/12/2021,11000.0,11111.0,11113,tfr-327
20/12/2021,3000.0,11111.0,21002,tfr-328
21/12/2021,2000.0,11111.0,21002,tfr-329
21/12/2021,1000.0,11111.0,21002,tfr-330
