*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
Bridgestone Select,,,,,,,,,,4462.0,,01/10/2024,01/10/2024,,,1 tyre puncture repair 204IS2,1,36.36,,62005.0,GST on Expenses,3.64,Job,,,,,
Sk&SW Pty Ltd,,,,,,,,,,4480.0,,01/10/2024,01/10/2024,,,Mandarin lesson taken on 27-09-2024. (invoice recorded as of 01-10-2024 as September GST has been already reported) this invoice was receive on 18-10-2024,1,227.27,,61804.0,GST on Expenses,22.73,Job,,,,,
JB HI FI Pty Ltd,,,,,,,,,,4454.0,,02/10/2024,02/10/2024,,,2 curve monitors one for Nikita and the other one for Monica,1,498.17,,13510.0,BAS Excluded,49.82,Job,,,,,
Office Works,,,,,,,,,,4455.0,,02/10/2024,02/10/2024,,,Stand monitors for 2 screens ,1,163.55,,61007.0,GST on Expenses,16.36,Job,,,,,
Ink Station,,,,,,,,,,4518.0,,02/10/2024,02/10/2024,,,4 Tonners,1,127.09,,61301.0,GST on Expenses,12.71,Job,,,,,
Xero (NZ) Ltd,,,,,,,,,,4460.0,,03/10/2024,03/10/2024,,,Xero monthly subscription UAE,1,41.28,,62819.0,BAS Excluded,0.00,Job,,,,,
Ink Station,,,,,,,,,,4464.0,,03/10/2024,03/10/2024,,,4 adaptors for dual screen for the admin team,1,156.18,,61007.0,GST on Expenses,15.62,Job,,,,,
Origin Energy,,,,,,,,,,4470.0,,07/10/2024,07/10/2024,,,Electricity bill Lota HQ,1,96.54,,61103.0,GST on Expenses,9.65,Job,,,,,
Xero Australia Pty Ltd,,,,,,,,,,4469.0,,10/10/2024,10/10/2024,,,Xero monthly subscription,1,30.23,,62623.0,GST on Expenses,3.02,Job,,,,,
Sydney Water,,,,,,,,,,4475.0,,10/10/2024,10/10/2024,,,Water and sewerage Sydney apartment,1,172.79,,62716.0,GST Free Expenses,0.00,Job,,,,,
Australia Post,,,,,,,,,,4473.0,,12/10/2024,12/10/2024,,,Renewal ASIC Chris Rezuk,1,317.09,,60104.0,GST on Expenses,31.71,Job,,,,,
Office Works,,,,,,,,,,4477.0,,12/10/2024,12/10/2024,,,Stationary Lota,1,90.31,,61301.0,GST on Expenses,9.03,Job,,,,,
Ink Station,,,,,,,,,,4478.0,,12/10/2024,12/10/2024,,,3 tonners,1,412.72,,61301.0,GST on Expenses,41.27,Job,,,,,
Bunnings Warehouse,,,,,,,,,,4471.0,,14/10/2024,14/10/2024,,,Fire extinguisher for workshop,1,17.27,,60108.0,GST on Expenses,1.73,Job,,,,,
Guardian Storage,,,,,,,,,,4494.0,,14/10/2024,14/10/2024,,,Melbourne storage unit 6 months rental,1,563.56,,61603.0,GST on Expenses,56.36,Job,,,,,
SLH Mowing ,,,,,,,,,,4474.0,,16/10/2024,16/10/2024,,,Backyard maintenance,1,118.18,,61107.0,GST on Expenses,11.82,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,4476.0,,16/10/2024,16/10/2024,,,Shipping cost for a pendulum and spare parts invoice #FRA/24/10/0483,1,757.61,,60027.0,BAS Excluded,0.00,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,Laboour onsite 26-07-2024. Set up lap top for Carl Kelinhaus,1,400,,61001.0,GST on Expenses,40,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,MYOB migration to Xero September 2024,1,"2,000",,61001.0,GST on Expenses,200,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,"Set up laptop for Joel, set up Joshua Warren, resolver Natalie's internet issues",1,"1,000",,61001.0,GST on Expenses,100,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,Fixing Nathan laptop on the same day,1,600,,61001.0,GST on Expenses,60,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,Xero training for Kelly and Monica,1,400,,61001.0,GST on Expenses,40,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,iPhone mobile compliance updates for Apple  UE regulations,1,150,,61001.0,GST on Expenses,15,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,Joel's computer sharepoint resolve,1,200,,61001.0,GST on Expenses,20,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,Set up dual screen for the Admin team,1,400,,61001.0,GST on Expenses,40,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4479.0,,16/10/2024,16/10/2024,,,Credit card surcharge,1,113.3,,61001.0,BAS Excluded,0.00,Job,,,,,
Crystal White ,,,,,,,,,,4482.0,,17/10/2024,17/10/2024,,,Refund from this supplier as they were unable to provide the mop handles ordered in October2024,1,-171.83,,61708.0,BAS Excluded,0.00,Job,,,,,
Trustees for Allegiance Marketing Unit Trust,,,,,,,,,,4481.0,,18/10/2024,18/10/2024,,,Accor membership for Natalie Cameron,1,362.73,,61511.0,GST on Expenses,36.27,Job,,,,,
The Body Corporate for The Workstores Wakerley,,,,,,,,,,4493.0,,18/10/2024,18/10/2024,,,Body corporate fees for the training centre,1,"1,511.31",,62610.0,BAS Excluded,0.00,Job,,,,,
iPRO Group Pty Ltd,,,,,,,,,,4483.0,,20/10/2024,20/10/2024,,,Monthly induction subscription,1,45,,60101.0,GST on Expenses,4.5,Job,,,,,
Rapid Global,,,,,,,,,,4484.0,,23/10/2024,23/10/2024,,,Induction credit for Joel Barnett,1,30,,60101.0,GST on Expenses,3,Job,,,,,
Microsoft Regional Sales Pte Ltd,,,,,,,,,,4501.0,,23/10/2024,23/10/2024,,,Microsoft licenses monthly subscription,1,72,,61010.0,GST on Expenses,7.2,Job,,,,,
Microsoft Regional Sales Pte Ltd,,,,,,,,,,4502.0,,23/10/2024,23/10/2024,,,Microsoft licenses monthly subscription,1,72.6,,61010.0,GST on Expenses,7.26,Job,,,,,
Energy Australia Pty Ltd,,,,,,,,,,4486.0,,24/10/2024,24/10/2024,,,Electricity bill at Sydney apartment,1,132.15,,62708.0,GST on Expenses,13.21,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,4487.0,,24/10/2024,24/10/2024,,,12 months vehicle registration  204IS2,1,753.65,,62004.0,BAS Excluded,0.00,Job,,,,,
Bunnings Warehouse,,,,,,,,,,4490.0,,24/10/2024,24/10/2024,,,1 pliers for workshop,1,26.8,,61704.0,GST on Expenses,2.68,Job,,,,,
Vodafone Pty Limited,,,,,,,,,,4491.0,,26/10/2024,26/10/2024,,,Telephone bill and internet at Sydney apartment,1,878.9,,61004.0,GST on Expenses,87.89,Job,,,,,
Whelan Property Group,,,,,,,,,,4488.0,,27/10/2024,27/10/2024,,,Body corporate fees Sydney apartment,1,"1,590.09",,62707.0,GST on Expenses,159.01,Job,,,,,
Bunnings Warehouse,,,,,,,,,,4489.0,,28/10/2024,28/10/2024,,,Workshop glass door spare key abd HQ screen door spare key,1,10.83,,61109.0,GST on Expenses,1.08,Job,,,,,
SLH Mowing ,,,,,,,,,,4492.0,,29/10/2024,29/10/2024,,,Backyard maintenance,1,145.45,,61107.0,GST on Expenses,14.55,Job,,,,,
Down To Earth Sparky,,,,,,,,,,4498.0,,30/10/2024,30/10/2024,,,Annual testing and tagging and report at the training centre,1,264,,62628.0,GST on Expenses,26.4,Job,,,,,
