Item Number,Item Name,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
92-Spacer-40x10x6.35mm,Spacer 40 Long 10 OD 6.35 ID,,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
"82-UNC-5/16x11/4""-Zinc-CSK","UNC 5/16x11/4"" Zinc CSK Flat S",,,41112,51120,"UNC 5/16x11/4"" Zinc CSK Flat Socket Cap Screw",2.00,1,GST,X,0,1,0,0,0,0,0,2,149,149,149,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.56,,
18-SBF-Rocker-Arm-Studs-2,135-7202 ARP RSK 7/16 x 2.350 ,,,41112,51111,135-7202 ARP RSK 7/16 x 2.350 Rocker Arm Stud Kit,220.00,1,GST,X,0,1,0,0,0,0,0,220,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£157.30,,
18-ATI-Balancer,"917785 ATI Balancer SBC 7"" Ste",,,41112,51111,"917785 ATI Balancer SBC 7"" Steel 3 Ring",994.00,1,GST,X,0,1,0,0,0,0,0,994,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£752.40,,
24-4G63-CamBelt-HKS,HKS24999-AM001 HKS Fine Tune,,,41112,51111,HKS24999-AM001 HKS Fine Tune Timing Belt Mitsi 4G63,320.00,1,GST,X,0,1,0,0,0,0,0,320,994,994,994,994,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£229.25,,
26-TL-106-06-BLK,SF106-06-BLK 180deg,,,41112,51111,,49.00,1,GST,X,0,1,0,0,0,0,0,49,320,320,320,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£36.21,,
26-DS-Fitting-SF730-04-BLK,SF730-04 M12x1.25 Adapter,,,41112,51111,,12.00,1,GST,X,0,1,0,0,0,0,0,12,49,49,49,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£8.28,,
26-DS-Fitting-SF131-04-BLK,SF131-04 #4Fx#4F SW Adapter,,,41112,51111,,17.00,1,GST,X,0,1,0,0,0,0,0,17,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£12.41,,
14-4G63-Spark-Plug-NGKBR10ES,Spark-Plug-NGKBR10ES,,,41112,51111,,9.00,1,GST,X,0,1,0,0,0,0,0,9,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£5.51,,
14-4G63-Spark-Plug-NGKR5671A-,NGKR5671A-10 NGK V Power,,,41112,51111,NGKR5671A-10 NGK V Power,18.00,1,GST,X,0,1,0,0,0,0,0,18,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£11.11,,
18-Valve-Spring-Ret,CC10708-16 Crow Cams Valve Spr,,,41112,51111,"CC10708-16 Crow Cams Valve Spring Retainers Fits Chev LS1 Chrom 1.205""",315.00,1,GST,X,0,1,0,0,0,0,0,315,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£234.44,,
18-Spark-Plug-NGKR5671A-8,NGKR5671A-8 NGK V Power Racing,,,41112,51111,NGKR5671A-8 NGK V Power Racing Spark Plug Gasket Seat No Resistor Heat Range 8,16.00,1,GST,X,0,1,0,0,0,0,0,16,315,315,315,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£11.11,,
28-CHE-Rod-Bushing-1,RB-1050-625-110 CHE Rod Bushin,,,41112,51111,RB-1050-625-110 CHE Rod Bushing,25.00,1,GST,X,0,1,0,0,0,0,0,25,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£16.12,,
18-7deg-11/32-Locks,CO648-16 Machined Steel Set of,,,41112,51111,CO648-16 Machined Steel Set of 16 - 7deg 11/32in Single Groove Race Locks,76.00,1,GST,X,0,1,0,0,0,0,0,76,76,76,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£57.16,,
18-Pushrods-Trend-7.250,TRE725805CL-1 7.250 210 Radius,,,41112,51111,TRE725805CL-1 7.250 210 Radius 5/16 .080 Wall Pushrod,442.00,1,GST,X,0,1,0,0,0,0,0,442,76,76,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£338.80,,
26-DS-Fitting-SF101-10-BLK,SF101-10-BLK #10 ST Hose End B,,,41112,51111,SF101-10-BLK #10 ST Hose End Black,25.00,1,GST,X,0,1,0,0,0,0,0,25,442,442,442,442,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£18.62,,
26-DS-Fitting-104-10-Blk,SF104-10-Blk #10 120deg Hose E,,,41112,51111,SF104-10-Blk #10 120deg Hose End Black,68.00,1,GST,X,0,1,0,0,0,0,0,68,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£51.74,,
18-SF-820-16-BLK,SF-820-16-BLK Flare Cap Black,,,41112,51111,,21.00,1,GST,X,0,1,0,0,0,0,0,21,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£15.52,,
18-SF-820-04-BLK,SF-820-04-BLK Flare Cap Black,,,41112,51111,,4.00,1,GST,X,0,1,0,0,0,0,0,4,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£3.11,,
