Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables
MUN1304,Union Building 130 Precas,,D,,,0%,,,BM,,N,N
MUNBAB,Babel Building,,D,,,0%,,,,,N,N
MUNKOO,Koori Building,,D,,,0%,,,,,N,N
MUNQUE,Queen Elizabeth Building,,D,,,0%,,,,,N,N
PATCRI,Crib Point Duoguard Trial,,D,,,0%,,,IG/LT,,N,N
PATLIP,Long Island Point Duoguar,,D,,,0%,,,IG/LT,,N,N
PDSOFF,Officeworks Floor Geelong,,D,,,0%,,,,PDS Group,N,N
POWHOR,Horsham Poles,,D,,,0%,,,,,N,N
POWKER,Kerang/Bendigo/Horsham,,D,,,0%,,,,,N,N
POWPOL,Public Lighting Poles,,D,,,0%,,,,,N,N
RTACAS,NSW Cast Iron Bridges,,D,,,0%,,,LT,,N,N
RTARYD,Ryde Bridge Duoguard Tria,,D,,,0%,,,LT,,N,N
SGASAL,251 Salmon Street,,D,,,0%,,,IG,,N,N
SMINEW,New Caledonia,,D,,,0%,,,,,N,N
TRUCOO,Yalourn Cooling,,D,,,0%,,,,,N,N
TRUSTA,Yallourn station stack #1,,D,,,0%,,,,,N,N
TSAPOL,412 St Kilda Road Police,,D,,,0%,,,IG,,N,N
URSCRI,Crib Point Investigation,,D,,,0%,,,LT,,N,N
URSLIP,LIP Investigation,,D,,,0%,,,,,N,N
VVECHI,Chimely,,D,,,0%,,,BM,,N,N
WERGRA,Granstand,,D,,,0%,,,LT,Werribee Racing Club,N,N
WINLAT,Codner - 485 Latrobe - Pr,,D,,,0%,,,,,N,N
GOLDAU,GOLDING CONTRACTORS QLD,,D,DAUNIA CONCRETE FAILURE,,0%,,,IG,,N,Y
STRWON,Wonabi Yacht Hull Corrosi,,D,Strongman & Crouch Solicitors,Mr Strong,0%,,,Joel H,,N,Y
JLL520,520 Collins ST Melb,,D,,,0%,,,BM,,N,N
CHIFOO,New Job,,D,,,0%,,,,,N,N
MUN142,MSLE - BUILDING,,D,cONCRETE PORCH ROOF,PC,0%,5/7/2012,,Ian Godson,University of Melbourne,N,N
INFPRO,Infracorr Production,,D,Production from Garage,Garry Long,0%,1/8/2012,,Garry Long,,N,Y
AMCGEL,GELLIBRAND PIER,,D,INVESTIGATION,ROGER WILSON,0%,,,LT,,N,N
SANPIL,SANCTURY LAKES RESORT,,D,SANCTURY PILES,,0%,,,IG,,N,N
MON261,Medical Centre Chillers,,D,inv,,100%,,,BMc,,N,N
AMCVIC,New Job,,D,,,0%,,,,,N,N
M&CCOR,New Job,,D,,,0%,,,,,N,N
EWHCOP,New Job,,D,,,0%,,,,,N,N
CSTOML,New Job,,D,,,0%,,,,,N,N
JJMGPRW,New Job,,D,,,0%,,,,,N,N
JMGPRW,New Job,,D,,,0%,,,,,N,N
GHDHAR,Dock Square Wharf CP Ext,,D,Extension of CP at North Wharf / Convesso Development to Dock Square Wharf,,0%,,,,,N,N
POHCRI,Crib Dolphin Repair,,D,Drawings and Specification of Crib Point Dolphins,,0%,,,,,N,N
VER252,252 Collins Street,,D,Hybrid to 6 Concrete Columns in basement of 252 Collins Street Melbourne,Gary Georgeson,0%,1/10/2012,,Michael McLean,Vertitech Australia  Pty Ltd,N,N
JMGPR1,New Job,,D,,,0%,,,,,N,N
CIT6401,New Job,,D,,,0%,,,,,N,N
POHCRu,New Job,,D,,,0%,,,,,N,N
MAIMWF,New Job,,D,,,0%,,,,,N,N
GHDARJ,New Job,,D,,,0%,,,,,N,N
MCMCARJ,New Job,,D,,,0%,,,,,N,N
ZADM,New Job,,D,,,0%,,,,,N,N
JMGPRWJ,New Job,,D,,,0%,,,,,N,N
ACCCSTI,New Job,,D,CONFINED SPACE TRAINING,,0%,,,,,N,Y
VICHYD,New Job,,D,,,0%,,,,,N,N
VICHYDI,New Job,,D,,,0%,,,,,N,N
ZADMAN,New Job,,D,,,0%,,,Garry Long,,N,Y
SCCSYL,New Job,,D,,,0%,,,,,N,Y
AMOCOO,New Job,,D,,,0%,,,,,N,N
ASPHKB,New Job,,D,,,0%,,,,,N,N
POHCRIJS,Crib Point,,D,Supervision,,0%,,,,,N,N
2017.j051,Crib Point,,D,,,0%,,,,,N,N
2018.j036,New Job,,D,,,0%,,,,,N,N
2023.j057,New Job,,D,,,0%,,,,,N,N
